Document,Topic_0,Topic_1,Topic_2,Topic_3,Dominant_Topic
달 결 보완 인공 지능 연속 인공 지능 환경 결 연속 인공 지능,7.94632756839203e-310,1.0,1.20630697759675e-309,1.32450379564521e-309,1
대화 인공 지능 음성 언어 인공 지능 대화 언어 이해 파이프라인 대화 공함 이해도 높이다 인공 지능 대화,0.11551902242055388,0.12072819237161815,0.09617907877386486,0.0713873738691139,-1
대화 인공 지능 일상 전문 지식 주제 대화 인공 지능 일상 대화 설명 법률 인공 지능 대화 공함 일상 대화 법률 지식 원활하다 공함 대화 몰입도 자연스럽다 움 높이다 대화 인공 지능,0.24362900460457,0.11341860772037671,0.14314071142440904,0.13789430828437088,0
인공 지능 보강 서버 인공 지능 논문 인공 지능 논문 보강 인공 지능 논문 저장 인공 지능 테스트 저장 인공 지능 논문 보강 인공 지능 논문 인공 지능 향상 참고 보강 인공 지능 보강 서버,1.03305304286587e-309,1.41925589524189e-309,1.0,1.2353702102428e-309,2
유사 양자화 인공 지능 학습 양자화 인공 지능 학습 인공 지능 학습 학습 학습 학습 양자화 양자화 양자화 학습 양자화 손실 분포 고려 양자화 재학 습하다 학습 유사 양자화 인공 지능 학습,0.09310895049239531,0.0898258299682242,0.09727023231389458,0.11131531775531583,-1
앤 인공 지능 설명 앤 인공 지능 설명 서버 인공 지능 설명 통신 설명 설명 인공 지능 설명 요구 인공 지능 앤 매니저 인공 지능 프레임워크 앤 매니저 설명 감안 설명 서버 설명 설명 주요 설명 주요 설명 서버 앤 매니저 설명 설명 설명 인공 지능 설명 앤 인공 지능 설명,0.2112762038735953,0.19303637098828333,0.31235757817416165,0.21283734350688618,-1
인공 지능 챗봇 케어 발화 음성 센서 챗봇 챗봇 네트워크 챗봇 챗봇 서버 캐릭터 챗봇 고령 시니어 인공 지능 챗봇 케어 사실 홀로 그래픽 기법 그래픽 직관 정보전 달이 인공 지능 인공 지능 음성 아바타 고령 인공 지능 거부 완화 사실 입 체감 홀로 그래픽 인공 지능 챗봇 케어,0.27147219180276716,0.1655953449532463,0.23131906149520817,0.22742882627121122,-1
인공 지능 합성 자동 인공 지능 자동 인공 지능 자동 온도 가중 치 가중 치 변 가중 가중 치 가중 치 비트 비트 비트 인공 지능 알고리즘 링 발 진기 이득 병렬 인공 지능 합성 자동 ai,1.17380443745866e-309,1.22566713923024e-309,1.0,1.363943017114804e-309,2
인공 지능 클라우드 도로포장 자동화 인공 지능 클라우드 도로포장 자동화 인공 지능 클라우드 포장 자동화 저장 스테레오 광학 카메라 열 카메라 도로포장 클라우드 열 인공 지능 클라우드 도로포장 자동화,0.0906282269913232,0.08195385313653314,0.1193458897552095,0.1296332116312767,-1
극 적절하다 제안 근력 강화 슈트 인공 지능 심박 심박 스마트 극 판 극 판 가하다 원통 신기 근력 강화 슈트 스마트 근력 강화 슈트 무선 통신 스마트 근력 강화 슈트 저장 학습 서버 근력 강화 슈트 인공 지능,1.0,7.43851876885765e-310,9.90575018185636e-310,6.8018130576211e-310,0
인공 지능 가상 캐릭터 인공 지능 가상 캐릭터 카메라 하나로 인공 지능 가상 캐릭터 생체 달성 가상 캐릭터 인공 지능 가상 캐릭터 ai,6.86591624708694e-310,8.8079222072984e-310,1.27159605384579e-309,1.0,3
인공 지능 위기 인공 지능 비명 위기 음성 음성 음성 비명 위기 위기 라면 위기 인공 지능 실시간 위기,8.95448909645304e-310,1.37498188448061e-309,1.48414442876471e-309,1.0,3
랙션 인공 지능 경연 대회 운영 경 대 스케줄 일정 나누어지다 랩 채점 스크립트 저장 채점 일정 나누어지다 랩 랩 참가자 답안 경연 대회 채점 스크립트 랭킹 참가자 랭킹 정 참가자 네트워킹 경연 대회 개최 서버 경연 대회 개최 서버 네트워킹 참가자 인공 지능 프로그래밍 향상 요구 인공 지능 솔루션 발굴 랙션 인공 지능 경연 대회 운영,1.0,7.14519640947497e-310,1.050023027425356e-309,7.3773380636459e-310,0
인공 지능 센서 센서 인공 지능 인공 지능 상호 전력 센서 센서 저장 휘발 센서 센서 센서 휘발 저장 센서 센서 센서 휘발 휘발 저장 센서 인공 지능 휘발 저장 센서 인공 지능,8.7102695196833e-310,1.0,1.48979899318873e-309,1.04973551035499e-309,1
인공 지능 신경망 분류 추적 인공 지능 신경망 내다 분류 추적 학습 신경망 학습 학습 빔포밍 입력값 학습 인공 지능 신경망 학습 신경망 학습 인공 지능 신경망 추론 빔포밍 추론 추론 추론 분류 추적 정확성 공간 분해능 우수하다 분류 추적 이점 인공 지능 신경망 분류 추적,0.1610082846398556,0.2669029595094975,0.2953246584764708,0.19900709732468772,-1
달 결 보완 인공 지능 연속 인공 지능 환경 결 연속 인공 지능,7.9602899169061e-310,1.0,1.2064337825402e-309,1.315712180478666e-309,1
대화 인공 지능 음성 언어 인공 지능 대화 언어 이해 파이프라인 대화 공함 이해도 높이다 인공 지능 대화,0.11570607300975862,0.12059516001263074,0.09616049969444636,0.0713519347183151,-1
대화 인공 지능 일상 전문 지식 주제 대화 인공 지능 일상 대화 설명 법률 인공 지능 대화 공함 일상 대화 법률 지식 원활하다 공함 대화 몰입도 자연스럽다 움 높이다 대화 인공 지능,0.2445039162026808,0.11314255828494373,0.14290113588554712,0.13753502166055498,0
인공 지능 보강 서버 인공 지능 논문 인공 지능 논문 보강 인공 지능 논문 저장 인공 지능 테스트 저장 인공 지능 논문 보강 인공 지능 논문 인공 지능 향상 참고 보강 인공 지능 보강 서버,1.026289124349453e-309,1.40458544108699e-309,1.0,1.25288911551925e-309,2
유사 양자화 인공 지능 학습 양자화 인공 지능 학습 인공 지능 학습 학습 학습 학습 양자화 양자화 양자화 학습 양자화 손실 분포 고려 양자화 재학 습하다 학습 유사 양자화 인공 지능 학습,0.09296853972930895,0.08976033149701873,0.09731777542582296,0.11147368387767932,-1
앤 인공 지능 설명 앤 인공 지능 설명 서버 인공 지능 설명 통신 설명 설명 인공 지능 설명 요구 인공 지능 앤 매니저 인공 지능 프레임워크 앤 매니저 설명 감안 설명 서버 설명 설명 주요 설명 주요 설명 서버 앤 매니저 설명 설명 설명 인공 지능 설명 앤 인공 지능 설명,0.21128115590748398,0.1924381587825846,0.312985716215048,0.21280246563780997,-1
인공 지능 챗봇 케어 발화 음성 센서 챗봇 챗봇 네트워크 챗봇 챗봇 서버 캐릭터 챗봇 고령 시니어 인공 지능 챗봇 케어 사실 홀로 그래픽 기법 그래픽 직관 정보전 달이 인공 지능 인공 지능 음성 아바타 고령 인공 지능 거부 완화 사실 입 체감 홀로 그래픽 인공 지능 챗봇 케어,0.2722403950237969,0.16581918128418732,0.2308909486372993,0.2268648995771494,-1
인공 지능 합성 자동 인공 지능 자동 인공 지능 자동 온도 가중 치 가중 치 변 가중 가중 치 가중 치 비트 비트 비트 인공 지능 알고리즘 링 발 진기 이득 병렬 인공 지능 합성 자동 ai,1.17427163109582e-309,1.226541836127835e-309,1.0,1.36494891766916e-309,2
인공 지능 클라우드 도로포장 자동화 인공 지능 클라우드 도로포장 자동화 인공 지능 클라우드 포장 자동화 저장 스테레오 광학 카메라 열 카메라 도로포장 클라우드 열 인공 지능 클라우드 도로포장 자동화,0.090547359815438,0.08196189921291828,0.1193260450362173,0.1297258774497689,-1
극 적절하다 제안 근력 강화 슈트 인공 지능 심박 심박 스마트 극 판 극 판 가하다 원통 신기 근력 강화 슈트 스마트 근력 강화 슈트 무선 통신 스마트 근력 강화 슈트 저장 학습 서버 근력 강화 슈트 인공 지능,1.0,7.43099889900255e-310,9.8726849660583e-310,6.79003565305323e-310,0
인공 지능 가상 캐릭터 인공 지능 가상 캐릭터 카메라 하나로 인공 지능 가상 캐릭터 생체 달성 가상 캐릭터 인공 지능 가상 캐릭터 ai,6.8491692591452e-310,8.7629487881853e-310,1.26314576257614e-309,1.0,3
인공 지능 위기 인공 지능 비명 위기 음성 음성 음성 비명 위기 위기 라면 위기 인공 지능 실시간 위기,9.0819895656993e-310,1.37176624553907e-309,1.51397802854401e-309,1.0,3
랙션 인공 지능 경연 대회 운영 경 대 스케줄 일정 나누어지다 랩 채점 스크립트 저장 채점 일정 나누어지다 랩 랩 참가자 답안 경연 대회 채점 스크립트 랭킹 참가자 랭킹 정 참가자 네트워킹 경연 대회 개최 서버 경연 대회 개최 서버 네트워킹 참가자 인공 지능 프로그래밍 향상 요구 인공 지능 솔루션 발굴 랙션 인공 지능 경연 대회 운영,1.0,7.142563702773e-310,1.04797976188525e-309,7.33966961992484e-310,0
