Unnamed: 0,출원인,출원일,출원번호,astrtCont,bigDrawing,drawing,indexNo,발명명칭,IPC분류,openDate,openNumber,공개일,publicationNumber,등록일,registerNumber,등록상태,검색 키워드,combined,유사도
0,주식회사 히포티앤씨|성균관대학교산학협력단,20220726,1020220092739,"본 발명은, 멀티 모달 데이터가 시계열적으로 획득될 때 획득되는 데이터에 결측치가 있어 불완전한 경우 이를 보완하기 위한 인공지능을 포함하는 시스템에 관한 것이다.  본 발명에 따른 불완전한 연속 데이터 기반의 인공지능 분석 시스템은 multi-modal 데이터 환경에서 결측이 있더라도 데이터를 분석할 수 있는 효과가 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9303cae34512d528235f5895a4ed374927e82062204e1b55320f107cdb8265fa78e1a189c2b75820f812d0f5b31ddb9e5d396c3f89e2988e3a,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfc1ad6069b116827c7d1da9a1cc4149c17b994ae05219a6984e9621e8cf86a74a4a445a6a91b427b8c2e360a43b51ffc1b89895fe2b7389fc,1,불완전한 연속 데이터 기반의 인공지능 분석 시스템,G06N 3/08|G06N 3/04|G06F 11/30,20240202.0,1020240014941.0,,,,,공개,인공지능,"불완전한 연속 데이터 기반의 인공지능 분석 시스템 본 발명은, 멀티 모달 데이터가 시계열적으로 획득될 때 획득되는 데이터에 결측치가 있어 불완전한 경우 이를 보완하기 위한 인공지능을 포함하는 시스템에 관한 것이다.  본 발명에 따른 불완전한 연속 데이터 기반의 인공지능 분석 시스템은 multi-modal 데이터 환경에서 결측이 있더라도 데이터를 분석할 수 있는 효과가 있다. ",0.2631522372796288
1,서강대학교산학협력단,20231229,1020230196346,"본 발명은 대화 분석 시스템을 개시한다. 보다 상세하게는, 본 발명은 인공지능 기술에 기반하여 음성 언어 텍스트에 대한 분석을 통해 신뢰성 있는 근거를 추출하는 인공지능 기반 대화 분석 시스템 및 방법에 관한 것이다.  본 발명의 실시예에 따르면, 언어 이해 기술 및 판단 근거 산출 모델을 파이프라인으로 구현하여 대화 분석 판단 값과 동시에 그 근거를 제공함으로써 기술에 대한 사용자들의 이해도와 신뢰성을 높일 수 있는 효과가 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93177963701f90017668320c96f0174ba878211a17cec0cb109777119b7562352bf3f8690e60e8d4e48af7373e908476576477ffc564a5cb8f,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf3e97f307204c011c27b9b76d3f7a221627bf1f720718b6e81877af173eac2fd56fc3c41a7c61595f565d9941594dd88a9fcc420ee39e91da,2,인공지능 기반 대화 분석 시스템 및 방법,G06F 16/35|G06F 16/332|G06F 40/284|G06Q 50/18|G06N 3/096|G06N 3/0455,20250708.0,1020250104208.0,,,,,공개,인공지능,"인공지능 기반 대화 분석 시스템 및 방법 본 발명은 대화 분석 시스템을 개시한다. 보다 상세하게는, 본 발명은 인공지능 기술에 기반하여 음성 언어 텍스트에 대한 분석을 통해 신뢰성 있는 근거를 추출하는 인공지능 기반 대화 분석 시스템 및 방법에 관한 것이다.  본 발명의 실시예에 따르면, 언어 이해 기술 및 판단 근거 산출 모델을 파이프라인으로 구현하여 대화 분석 판단 값과 동시에 그 근거를 제공함으로써 기술에 대한 사용자들의 이해도와 신뢰성을 높일 수 있는 효과가 있다. ",0.2088693484039608
2,서강대학교산학협력단,20231229,1020230196345,"본 발명은 대화형 인공지능 시스템을 개시한다. 보다 상세하게는, 본 발명은 일상 수준 이거나 전문 지식을 기반으로 하는 다양한 형태의 주제에 대한 질의 응답을 처리할 수 있는 복합형 질의 응답 서비스를 제공하는 대화형 인공지능 시스템에 관한 것이다.  본 발명의 실시예에 따르면, 일상 대화와 설명 가능한 법률 도메인 질의 응답을 복합적으로 제공하는 인공지능 대화 인터페이스 제공함에 따라, 일상 대화와 법률 지식 기반 질의 응답을 복합적이고 원활하게 제공함으로써, 시스템을 이용하는 사용자들의 대화 몰입도와 응답의 자연스러움을 높일 수 있는 효과가 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93177963701f90017668320c96f0174ba878211a17cec0cb109777119b7562352b398ed15cfd63903cf1e2c9ff250ec31bb2f5b59fcbdd2a08,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf3e97f307204c011c27b9b76d3f7a221627bf1f720718b6e81877af173eac2fd5e7473963ca3c257e5c26f8af458ab3471dbe2563857f1f1e,3,복합형 질의 응답 서비스를 제공하는 대화형 인공지능 시스템 및 방법,G06F 16/332|G06F 16/338|G06F 16/31|G06N 3/0475|G06N 3/096,20250708.0,1020250104207.0,,,,,공개,인공지능,"복합형 질의 응답 서비스를 제공하는 대화형 인공지능 시스템 및 방법 본 발명은 대화형 인공지능 시스템을 개시한다. 보다 상세하게는, 본 발명은 일상 수준 이거나 전문 지식을 기반으로 하는 다양한 형태의 주제에 대한 질의 응답을 처리할 수 있는 복합형 질의 응답 서비스를 제공하는 대화형 인공지능 시스템에 관한 것이다.  본 발명의 실시예에 따르면, 일상 대화와 설명 가능한 법률 도메인 질의 응답을 복합적으로 제공하는 인공지능 대화 인터페이스 제공함에 따라, 일상 대화와 법률 지식 기반 질의 응답을 복합적이고 원활하게 제공함으로써, 시스템을 이용하는 사용자들의 대화 몰입도와 응답의 자연스러움을 높일 수 있는 효과가 있다. ",0.2331873930907541
3,(주)한국인공지능검증원,20221104,1020220145813,"본 발명의 실시 예에 따른 인공지능 모델 검증 및 보강 서버는 수집된 인공지능기술 논문데이터를 검증용 인공지능기술 논문데이터와 성능보강용 인공지능기술 논문데이터로 구분하여 저장하고, 사용자의 인공지능 모델 테스트 의뢰가 입력됨에 따라 저장된 검증용 인공지능기술 논문데이터와 성능보강용 인공지능기술 논문데이터를 이용하여 평가대상 인공지능 모델의 성능평가를 수행하고, 성능향상을 위해 참고할 수 있는 성능보강 정보를 제공할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93bc92d9041e36d858e830f976982d4df439e0ba31c89c71d9f05e26e3f5bb5e35e71150c18309ec264ebf99b3d6f2f6e51f4c332905b81051,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfaf9b70cefbbb55c674c758747f236f3bee9af0bf5832abbc14f2f17a7e7a83a0e5288cab18ee56d6181cca4b38e01efb2f9651468eaddf4e,4,"인공지능 모델 검증 및 보강 방법, 및 이를 이용하는 서버",G06F 11/36|G06F 11/14|G06F 11/22,20240513.0,1020240064137.0,,,,,공개,인공지능,"인공지능 모델 검증 및 보강 방법, 및 이를 이용하는 서버 본 발명의 실시 예에 따른 인공지능 모델 검증 및 보강 서버는 수집된 인공지능기술 논문데이터를 검증용 인공지능기술 논문데이터와 성능보강용 인공지능기술 논문데이터로 구분하여 저장하고, 사용자의 인공지능 모델 테스트 의뢰가 입력됨에 따라 저장된 검증용 인공지능기술 논문데이터와 성능보강용 인공지능기술 논문데이터를 이용하여 평가대상 인공지능 모델의 성능평가를 수행하고, 성능향상을 위해 참고할 수 있는 성능보강 정보를 제공할 수 있다. ",0.24049497858868063
4,이화여자대학교 산학협력단,20231228,1020230194206,"본 발명은 정확도 정보 및 유사도 정보를 이용한 양자화 인공지능 학습 처리 장치 및 방법에 관한 것으로, 본 발명의 일실시예에 따른 양자화 인공지능 학습 처리 장치는 인공지능 모델을 이용해 입력 데이터를 학습하여 학습 데이터를 출력하는 학습 처리부, 상기 학습 데이터를 양자화(quantization) 처리하여 양자화 데이터를 출력하는 양자화 처리부 및 상기 학습 데이터와 상기 양자화 데이터에 대하여 손실 함수에 기반한 정확도 정보와 분포(distribution) 정보 간의 비율을 고려하여 상기 양자화 데이터를 재학습하는 재학습 처리부를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a1446294581abff52caa1215544b439f9a44bff24263f56a089410ef150f21939f069c000e17962c0f3fcadea68d9ca1d46ebd5122f6d896,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf38bd7805f89d9f99ac5c29b9327f4a8ea681ec3d956622a6a24e34b13b723956a345797adbb89c17cd1d1654685060f14277ef2bb59fb227,5,정확도 정보 및 유사도 정보를 이용한 양자화 인공지능 학습 처리 장치 및 방법,G06N 3/0495|G06N 3/0442|G06N 3/045,20250707.0,1020250102496.0,,,,,공개,인공지능,"정확도 정보 및 유사도 정보를 이용한 양자화 인공지능 학습 처리 장치 및 방법 본 발명은 정확도 정보 및 유사도 정보를 이용한 양자화 인공지능 학습 처리 장치 및 방법에 관한 것으로, 본 발명의 일실시예에 따른 양자화 인공지능 학습 처리 장치는 인공지능 모델을 이용해 입력 데이터를 학습하여 학습 데이터를 출력하는 학습 처리부, 상기 학습 데이터를 양자화(quantization) 처리하여 양자화 데이터를 출력하는 양자화 처리부 및 상기 학습 데이터와 상기 양자화 데이터에 대하여 손실 함수에 기반한 정확도 정보와 분포(distribution) 정보 간의 비율을 고려하여 상기 양자화 데이터를 재학습하는 재학습 처리부를 포함할 수 있다. ",0.27810965816494393
5,한국과학기술원,20221216,1020220176909,"본 발명은 플러그 앤 플레이 방식 기반의 인공지능 모델에 대한 설명 제공 방법에 관한 것이다.  본 발명에 따른 플러그 앤 플레이 방식 기반의 인공지능 모델에 대한 설명 제공 방법은, 서비스 제공업체 서버의 제어부가 인공지능 모델과 설명 모듈 간의 통신을 위해 각 설명 모듈이 잘 설명할 수 있는 인공지능 모델의 종류를 설정하는 단계; 설명이 요구되는 인공지능 모델이 입력되면, 플러그 앤 플레이 매니저가 인공지능 모델의 제조사, 프레임워크, 종류를 인지하는 단계; 플러그 앤 플레이 매니저가 인지 결과를 기반으로 설명 모듈의 제약 조건을 감안하여 사용 가능한 설명 모듈의 목록을 작성하는 단계; 서비스 제공업체 서버가 사용 가능한 설명 모듈의 목록에 있는 설명 모듈들에 대한 주요 사항을 사용자 단말기로 제공하는 단계; 사용자 단말기가 목록에 있는 설명 모듈들에 대한 주요 사항을 참조로 목록상의 설명 모듈들 중 하나를 선택하여 서비스 제공업체 서버로 제공하는 단계; 플러그 앤 플레이 매니저가 사용자 단말기에 의해 선택된 설명 모듈을 목록에 있는 설명 모듈들 중에서 도출하는 단계; 및 도출된 설명 모듈이 입력된 인공지능 모델에 대한 설명을 사용자 단말기로 제공하는 단계를 포함한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931b3323467b072be7573d69e49af03c18edee38e52232efeb5319bb1e6f91d86c5d1f185afb109b9c3e633613c5060d6672ac7ca60886aefb,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf91ef38f15fa79abf9bc2b87f7e6a2dc8168aa729fc1a01385d406a11f6fbd7fa3e10d444e75a0a55f56cf7990fd7f8e03b9c2fc9e762abb4,6,플러그 앤 플레이 방식 기반의 인공지능 모델에 대한 설명 제공 방법,G06N 3/10|G06F 9/4401,20240626.0,1020240095615.0,,,,,공개,인공지능,"플러그 앤 플레이 방식 기반의 인공지능 모델에 대한 설명 제공 방법 본 발명은 플러그 앤 플레이 방식 기반의 인공지능 모델에 대한 설명 제공 방법에 관한 것이다.  본 발명에 따른 플러그 앤 플레이 방식 기반의 인공지능 모델에 대한 설명 제공 방법은, 서비스 제공업체 서버의 제어부가 인공지능 모델과 설명 모듈 간의 통신을 위해 각 설명 모듈이 잘 설명할 수 있는 인공지능 모델의 종류를 설정하는 단계; 설명이 요구되는 인공지능 모델이 입력되면, 플러그 앤 플레이 매니저가 인공지능 모델의 제조사, 프레임워크, 종류를 인지하는 단계; 플러그 앤 플레이 매니저가 인지 결과를 기반으로 설명 모듈의 제약 조건을 감안하여 사용 가능한 설명 모듈의 목록을 작성하는 단계; 서비스 제공업체 서버가 사용 가능한 설명 모듈의 목록에 있는 설명 모듈들에 대한 주요 사항을 사용자 단말기로 제공하는 단계; 사용자 단말기가 목록에 있는 설명 모듈들에 대한 주요 사항을 참조로 목록상의 설명 모듈들 중 하나를 선택하여 서비스 제공업체 서버로 제공하는 단계; 플러그 앤 플레이 매니저가 사용자 단말기에 의해 선택된 설명 모듈을 목록에 있는 설명 모듈들 중에서 도출하는 단계; 및 도출된 설명 모듈이 입력된 인공지능 모델에 대한 설명을 사용자 단말기로 제공하는 단계를 포함한다. ",0.298337798058264
6,가천대학교 산학협력단,20200529,1020200064861,"본 발명은 인공지능 챗봇 기반 케어 시스템에 관한 것으로서, 사용자 단말로부터 전송된 질의 또는 사용자로부터 발화된 음성 또는 사용자의 행동을 센서를 통해 수집하고 해당 요청에 대한 결과를 출력시키는 챗봇; 및 상기 챗봇과 네트워크를 통해 연결되며 챗봇으로부터 수집된 정보를 수신하여 상기 수집된 정보를 기반으로 사용자 질의를 파악하여 해당 질의에 대한 처리 정보를 상기 챗봇으로 전송하는 서비스 제공서버; 를 포함하는 것을 특징으로 한다.  이에 의해, 3D캐릭터를 활용한 시각적 챗봇 인터페이스를 적용하여 고령의 시니어 사용자들이 인공지능 챗봇의 대한 용이한 접근이 구현될 수 있다.  또한, 케어 서비스 제공에 있어서, 사실적 홀로그래픽 기법으로 구현되는 상호작용이 가능한 3D그래픽 정보의 출력으로 직관적이고 구체적 정보의 정보전달이 구현될 수 있다.  또한, 인공지능에 의한 생활정보 및 의료상담 서비스의 결과를 인공지능의 음성지원에 매칭되는 3D 아바타에 의한 감성적 인터페이스의 구현으로 고령의 사용자가 가질 수 있는 인공지능에 대한 거부감을 완화하고 사실적 입체감을 구현하는 홀로그래픽 방식을 사용한 다양한 의료정보 서비스를 제공할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e8b0d9e7e5b8dd2fc8ec96252bf7e5a07d88cf90cfee37f2b0f7d729351a34e4da19e896fb8a98833350f4f43609dbe92ea33023eb0cef5d,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf0c738515f19d9fdf8a785ca9a5623029fac112422bb9b75e77dab0a6b0911c4f4c28f89437dae31d668e92dbd2cd0c1895469c48b23646de,7,인공지능 챗봇 기반 케어 시스템,G16H 50/20|G16H 10/20|G06F 3/00|G06F 3/01|G06F 3/16|G16H 50/70|G06N 3/08|G06N 20/00|G03H 1/04|G10L 15/22|H04L 51/02|G10L 15/16,,,20210824.0,,20210819.0,1022937430000.0,등록,인공지능,"인공지능 챗봇 기반 케어 시스템 본 발명은 인공지능 챗봇 기반 케어 시스템에 관한 것으로서, 사용자 단말로부터 전송된 질의 또는 사용자로부터 발화된 음성 또는 사용자의 행동을 센서를 통해 수집하고 해당 요청에 대한 결과를 출력시키는 챗봇; 및 상기 챗봇과 네트워크를 통해 연결되며 챗봇으로부터 수집된 정보를 수신하여 상기 수집된 정보를 기반으로 사용자 질의를 파악하여 해당 질의에 대한 처리 정보를 상기 챗봇으로 전송하는 서비스 제공서버; 를 포함하는 것을 특징으로 한다.  이에 의해, 3D캐릭터를 활용한 시각적 챗봇 인터페이스를 적용하여 고령의 시니어 사용자들이 인공지능 챗봇의 대한 용이한 접근이 구현될 수 있다.  또한, 케어 서비스 제공에 있어서, 사실적 홀로그래픽 기법으로 구현되는 상호작용이 가능한 3D그래픽 정보의 출력으로 직관적이고 구체적 정보의 정보전달이 구현될 수 있다.  또한, 인공지능에 의한 생활정보 및 의료상담 서비스의 결과를 인공지능의 음성지원에 매칭되는 3D 아바타에 의한 감성적 인터페이스의 구현으로 고령의 사용자가 가질 수 있는 인공지능에 대한 거부감을 완화하고 사실적 입체감을 구현하는 홀로그래픽 방식을 사용한 다양한 의료정보 서비스를 제공할 수 있다. ",0.33838800832092225
7,성균관대학교산학협력단|주식회사 스카이칩스,20200619,1020200075066,"본 발명은 인공지능 기반 주파수 합성 장치 및 이를 위한 자동 조정 회로와 인공지능 기반 자동 조정 방법에 관한 것으로, 본 발명의 일 실시예에 따른 인공지능 기반 자동 조정 회로는 온도 감지에 따라 생성된 제1 가중치, 공급 전압 감지에 따라 생성된 제2 가중치 및 공정 변이(process varation) 감지에 따라 생성된 제3 가중치를 입력받고, 입력된 제1 가중치 내지 제3 가중치에 기초하여 제어 비트를 생성하고, 생성된 제어 비트를 출력하는 SRAM 필터 및 제어 비트가 입력되면 인공지능 알고리즘을 링 타입 전압 제어 발진기의 제1 부하 조정 신호, 제1 바이어스 조정 신호 및 제1 이득제어 조정 신호를 병렬로 출력하는 AI 제어기를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00745ec6cb915f6fb3f4f261ef62e1461a6d11b458cd1a1bdd4e77afa91cddeb52d65eeb6227f026b6a6e659c42d869f3b7ca68187aaff4681,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf56a5a1bbfd00aa284ae870f1548862ec1a8d19033df4d546f5a39bfe54b71f5edd266fe23ffe26c71ffb6d0c5da1b8d325d3113a7906ec14,8,인공지능 기반 주파수 합성 장치 및 이를 위한 자동 조정 회로,H03L 7/187|H03L 1/02|H03L 7/24|H03L 7/099,,,20201102.0,,20201027.0,1021730750000.0,등록,인공지능,"인공지능 기반 주파수 합성 장치 및 이를 위한 자동 조정 회로 본 발명은 인공지능 기반 주파수 합성 장치 및 이를 위한 자동 조정 회로와 인공지능 기반 자동 조정 방법에 관한 것으로, 본 발명의 일 실시예에 따른 인공지능 기반 자동 조정 회로는 온도 감지에 따라 생성된 제1 가중치, 공급 전압 감지에 따라 생성된 제2 가중치 및 공정 변이(process varation) 감지에 따라 생성된 제3 가중치를 입력받고, 입력된 제1 가중치 내지 제3 가중치에 기초하여 제어 비트를 생성하고, 생성된 제어 비트를 출력하는 SRAM 필터 및 제어 비트가 입력되면 인공지능 알고리즘을 링 타입 전압 제어 발진기의 제1 부하 조정 신호, 제1 바이어스 조정 신호 및 제1 이득제어 조정 신호를 병렬로 출력하는 AI 제어기를 포함할 수 있다. ",0.32615878209685983
8,주식회사 딥인스펙션,20200929,1020200126874,"본 발명은 인공지능 및 포인트클라우드 기반 3차원 도로포장 및 철도레일 안전점검 자동화 시스템에 관한 것이다.  본 발명의 실시예에 따른 인공지능 및 포인트클라우드 기반 3차원 도로포장 및 철도레일 안전점검 자동화 시스템은 영상 데이터를 획득하는 입력부와, 영상 데이터를 이용하여 인공지능 및 포인트클라우드 기반으로 도로 포장 및 철도레일의 안전점검을 자동화하는 프로그램이 저장된 메모리 및 프로그램을 실행시키는 프로세서를 포함하고, 입력부는 스테레오 광학 카메라와 열화상 카메라로 도로포장 및 철도레일의 포인트 클라우드, 영상 데이터, 열화상 데이터를 취득한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b388cc629277980117c4982703cdfda7f212b102394278d704348a1c28595db69c02c274ea1b0fd2e06ff3425b129b28df2f71fe80fcc919,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf53c2caf7c81048cc5ee514bfdbfae7619e2b014102c12f04276569815d4045de04a694a8f0226de6122af246f3670b1802bfc4e6fee08f47,9,인공지능 및 포인트클라우드 기반 3차원 도로포장 및 철도레일 안전점검 자동화 시스템,G06Q 50/10|E21F 17/00|H04N 7/18|H04N 13/204|G06N 5/04|G06T 7/00,20220405.0,1020220043457.0,,,,,공개,인공지능,"인공지능 및 포인트클라우드 기반 3차원 도로포장 및 철도레일 안전점검 자동화 시스템 본 발명은 인공지능 및 포인트클라우드 기반 3차원 도로포장 및 철도레일 안전점검 자동화 시스템에 관한 것이다.  본 발명의 실시예에 따른 인공지능 및 포인트클라우드 기반 3차원 도로포장 및 철도레일 안전점검 자동화 시스템은 영상 데이터를 획득하는 입력부와, 영상 데이터를 이용하여 인공지능 및 포인트클라우드 기반으로 도로 포장 및 철도레일의 안전점검을 자동화하는 프로그램이 저장된 메모리 및 프로그램을 실행시키는 프로세서를 포함하고, 입력부는 스테레오 광학 카메라와 열화상 카메라로 도로포장 및 철도레일의 포인트 클라우드, 영상 데이터, 열화상 데이터를 취득한다. ",0.37159940242361544
9,(주)자이네스,20200618,1020200074064,"본 발명은 사용자에게 전기자극을 주면서 사용자의 신체 정보를 취득하여, 이를 분석해 사용자에게 적절한 운동을 제안하는 근력강화슈트를 이용한 인공지능 기반 트레이닝 관리 시스템에 관한 것이다. 이와 같은 본 발명은 사용자에게 착용되어 사용자의 심박을 측정하여, 심박데이터를 생성하는 스마트밴드; 복수 개의 전극판과 전극판에 일정한 주기로 전기를 인가하는 전원통신기가 착탈되는 근력강화슈트; 스마트밴드 및 근력강화슈트와 무선 통신하고, 스마트밴드 및 근력강화슈트로부터 데이터를 수신하는 어플리케이션이 설치되어, 복수 개의 정보데이터로 생성하는 단말기; 내부에 복수 개의 운동프로그램 데이터를 저장하고 있고, 외부에서 공급되는 운동 처방 데이터를 학습해 단말기에서 정보데이터를 수신하면, 수신된 정보데이터에 대응하는 운동프로그램 데이터를 단말기에 전송하는 AI서버를 포함한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93953f175d4591d3bcd1eeac6699ad2a821b6bfc45f331ae36c95950182a98f17e9012d58259d8e160478cd0122ef8e1811b7e8b2120f9a268,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf10fc146241bd959c3488aa75d8815d91d45fbd956de9dfb1326c7dbbcc856a89e23560f4b791a4370b2997457e9ed65f491da6669b189a3d,10,근력강화슈트를 이용한 인공지능 기반 트레이닝 관리 시스템,A63B 24/00|G06N 3/08|A61N 1/36|A61N 1/04|A61B 5/024|A61B 5/103|A61B 5/00,20211228.0,1020210156891.0,20220711.0,,20220705.0,1024191840000.0,등록,인공지능,"근력강화슈트를 이용한 인공지능 기반 트레이닝 관리 시스템 본 발명은 사용자에게 전기자극을 주면서 사용자의 신체 정보를 취득하여, 이를 분석해 사용자에게 적절한 운동을 제안하는 근력강화슈트를 이용한 인공지능 기반 트레이닝 관리 시스템에 관한 것이다. 이와 같은 본 발명은 사용자에게 착용되어 사용자의 심박을 측정하여, 심박데이터를 생성하는 스마트밴드; 복수 개의 전극판과 전극판에 일정한 주기로 전기를 인가하는 전원통신기가 착탈되는 근력강화슈트; 스마트밴드 및 근력강화슈트와 무선 통신하고, 스마트밴드 및 근력강화슈트로부터 데이터를 수신하는 어플리케이션이 설치되어, 복수 개의 정보데이터로 생성하는 단말기; 내부에 복수 개의 운동프로그램 데이터를 저장하고 있고, 외부에서 공급되는 운동 처방 데이터를 학습해 단말기에서 정보데이터를 수신하면, 수신된 정보데이터에 대응하는 운동프로그램 데이터를 단말기에 전송하는 AI서버를 포함한다. ",0.3178811024431137
