Unnamed: 0,출원인,출원일,출원번호,astrtCont,bigDrawing,drawing,indexNo,발명명칭,IPC분류,openDate,openNumber,공개일,publicationNumber,등록일,registerNumber,등록상태,검색 키워드,combined,유사도,출원년도,출원연도
0,국립한국교통대학교산학협력단,20221125,1020220160481,"본 발명은 자율주행 차량과 수동 운전 차량 간의 주행 의도 공유를 위한 방법 및 장치에 관한 것이다. 본 발명의 일 실시예에 따른 자율주행 차량과 수동 운전 차량 간의 주행 의도 공유를 위한 방법은, (a) 운전자에 의한 차량에 대한 차량 제어 정보 및 상기 운전자의 운전자 행동 정보를 획득하고, 상기 운전자의 입력에 의한 상기 차량의 전역 경로를 생성하는 단계; (b) 상기 전역 경로, 차량 제어 정보 및 운전자 행동 정보에 기반하여 상기 차량에 대한 주행 의도 정보를 생성하는 단계; (c) 상기 주행 의도 정보와 주변 차량으로부터 수신된 상기 주변 차량에 대한 주행 의도 정보에 기반하여 상기 차량의 로컬 경로를 생성하는 단계; 및 (d) 상기 차량의 로컬 경로를 출력하는 단계;를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93eafb8eff8135fd6a09fa962b9fb91c772fc5abff4ca5dbd26171a70dd29a7adae619c68dac985f354a05661ad856172194855e939410e3bc,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf10a74ba89bb6f6121e4a13175035888504b9ae58101072b878f1abab74b1ee045239fc711a5a2d70919547d1ea94a60f68b06fad4e4b80b6,1,자율주행 차량과 수동 운전 차량 간의 주행 의도 공유를 위한 방법 및 장치,B60W 60/00|B60W 40/10|B60W 40/08|B60W 50/14|B60W 10/20|B60W 40/105|B60W 40/107|B60W 30/095|B60W 50/04|B60W 50/00,20240604.0,1020240078528.0,,,,,거절,자율,"자율주행 차량과 수동 운전 차량 간의 주행 의도 공유를 위한 방법 및 장치 본 발명은 자율주행 차량과 수동 운전 차량 간의 주행 의도 공유를 위한 방법 및 장치에 관한 것이다. 본 발명의 일 실시예에 따른 자율주행 차량과 수동 운전 차량 간의 주행 의도 공유를 위한 방법은, (a) 운전자에 의한 차량에 대한 차량 제어 정보 및 상기 운전자의 운전자 행동 정보를 획득하고, 상기 운전자의 입력에 의한 상기 차량의 전역 경로를 생성하는 단계; (b) 상기 전역 경로, 차량 제어 정보 및 운전자 행동 정보에 기반하여 상기 차량에 대한 주행 의도 정보를 생성하는 단계; (c) 상기 주행 의도 정보와 주변 차량으로부터 수신된 상기 주변 차량에 대한 주행 의도 정보에 기반하여 상기 차량의 로컬 경로를 생성하는 단계; 및 (d) 상기 차량의 로컬 경로를 출력하는 단계;를 포함할 수 있다. ",0.393268724829343,2022,2022
1,주식회사 웨이브에이아이,20230918,1020230124007,"자율주행 기반 다목적 추종 이동체 및 그 제어 방법이 개시된다. 본 발명의 일 측면에 따른 자율주행 기반 다목적 추종 이동체는, 촬영모듈, 주행모듈, 및 촬영장치 및 주행모듈과 연결되는 프로세서를 포함하되, 프로세서는, 촬영모듈을 통해 획득된 영상 데이터에서 적어도 하나의 객체를 검출하고, 검출된 각 객체의 자세(pose)를 인식하며, 인식된 자세에 기초하여 추종 대상이 되는 타겟객체를 검출하고, 타겟객체를 추종하면서 이동하도록 상기 주행모듈을 제어할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9313e77757a350d264139b6bd65e56cd9b0d590a5f6b7de1ba301035fa522f7347ba2af51633e3b0e0ac614383666a4064d09af2ffe744204f,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfecdce7ecbcb3ece85133e7330ef6b59f74a661fcb3eabc78385254f06c5195fc79df7b3dca1294a0182acbd86ae27205ed6c354535929982,2,자율주행 기반 다목적 추종 이동체 및 그 제어 방법,G05D 1/20|G06V 40/10|G06V 10/74|G06T 7/70|G05D 1/00,20250325.0,1020250041374.0,,,,,공개,자율,"자율주행 기반 다목적 추종 이동체 및 그 제어 방법 자율주행 기반 다목적 추종 이동체 및 그 제어 방법이 개시된다. 본 발명의 일 측면에 따른 자율주행 기반 다목적 추종 이동체는, 촬영모듈, 주행모듈, 및 촬영장치 및 주행모듈과 연결되는 프로세서를 포함하되, 프로세서는, 촬영모듈을 통해 획득된 영상 데이터에서 적어도 하나의 객체를 검출하고, 검출된 각 객체의 자세(pose)를 인식하며, 인식된 자세에 기초하여 추종 대상이 되는 타겟객체를 검출하고, 타겟객체를 추종하면서 이동하도록 상기 주행모듈을 제어할 수 있다. ",0.461679455465177,2023,2023
2,(주)테슬라시스템,20231106,1020230151411,"본 발명은 도로변에 설치되는 인프라 시스템에서 자율 협력주행을 위한 돌발상황을 인식하는 장치 및 이를 이용한 인식 방법에 관한 것으로, 보다 상세하게는 인프라에 설치된 카메라 및 라이더 센서로부터 데이터를 수집하는 센서데이터 수신부, 수집된 데이터를 기초로 동적 객체를 검출하고 추적하는 동적객체 검출 및 추적부, 동적 객체의 이동경로를 예측하는 동적객체 이동경로 예측부, 지도정보를 수신하는 맵 데이터 수신부, 수집된 데이터로부터 돌발상황을 인식하는 돌발상황 인식부 및 인식된 돌발상황 정보를 송신하는 데이터 송신부로 이루어지는 것을 특징으로 하는 자율 협력주행을 위한 돌발상황을 인식하는 장치 및 이를 이용한 인식 방법에 관한 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93fd389e8834c6e75a60b22cd3bfc80b3e531dde824094af698fc618d580b6670aba40ec2694b150c01cb39ce0587857e347ea465dd0976b81,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf445854bf8f322c6276d4421e43906e7b525cfd6ffe805dd3c6f59709227b7e3e0c31765bb3418772922c32965af6f6b25cd6f8289d8f34c9,3,자율 협력주행을 위한 인프라에서 돌발상황 인식 장치 및 이를 이용한 방법,B60W 40/02|B60W 50/00|B60W 60/00|H04W 4/40|G06T 7/11,20250514.0,1020250066496.0,,,,,공개,자율,"자율 협력주행을 위한 인프라에서 돌발상황 인식 장치 및 이를 이용한 방법 본 발명은 도로변에 설치되는 인프라 시스템에서 자율 협력주행을 위한 돌발상황을 인식하는 장치 및 이를 이용한 인식 방법에 관한 것으로, 보다 상세하게는 인프라에 설치된 카메라 및 라이더 센서로부터 데이터를 수집하는 센서데이터 수신부, 수집된 데이터를 기초로 동적 객체를 검출하고 추적하는 동적객체 검출 및 추적부, 동적 객체의 이동경로를 예측하는 동적객체 이동경로 예측부, 지도정보를 수신하는 맵 데이터 수신부, 수집된 데이터로부터 돌발상황을 인식하는 돌발상황 인식부 및 인식된 돌발상황 정보를 송신하는 데이터 송신부로 이루어지는 것을 특징으로 하는 자율 협력주행을 위한 돌발상황을 인식하는 장치 및 이를 이용한 인식 방법에 관한 것이다. ",0.4056477041118053,2023,2023
3,(주)인포시스콤,20240816,1020240109727,"본 발명은 무인비행체가 이동하는 이동경로의 실시간 영상을 촬영하여 표적을 탐지하고, 표적의 좌표를 추출하며, 모자이크 맵을 생성할 수 있는 무인비행체 자율비행용 좌표 및 맵 생성 시스템 및 방법에 관한 것이다.  이를 위하여, 본 발명은 무인비행체 자율비행용 좌표 및 맵 생성 시스템에 있어서, 상기 무인비행체가 이동하는 이동경로의 영상을 촬영하여 실시간 영상을 획득하는 카메라부와, 상기 무인비행체의 비행을 위한 비행기반정보가 저장되고, 실시간 비행에 따른 상기 무인비행체의 실시간비행상태정보를 계산 및 송수신하는 데이터부와, 상기 실시간 영상, 상기 비행기반정보 및 상기 실시간비행상태정보를 기반으로 상기 실시간 영상 내의 표적을 탐지하고 표적좌표를 계산하는 표적좌표 추출부와, 상기 실시간 영상, 상기 비행기반정보 및 상기 실시간비행상태정보를 기반으로 상기 이동경로 영역의 모자이크 맵을 생성하는 모자이크 맵 생성부와, 상기 모자이크 맵을 분석하여 상기 이동경로 지역의 변화를 분석하는 맵 변화 분석부를 포함하는 것을 특징으로 하는 무인비행체 자율비행용 좌표 및 맵 생성 시스템을 제공한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9306ea52d80899ecdafbbfdc6deccbb9091d0ced0671a0f101344cd97218f8e36a365098609a385279f1d287ca0bf8cd9d4a5a22ef168db2b7,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfe6963197554716fa6717ba9e9450df9ed6cc58e5214ebd6bdb5bd18f4d7a65daa73f84cc5a61eca502ebe5cb82d872cdcb4166ee5f3dd6bc,4,무인비행체 자율비행용 좌표 및 맵 생성 시스템 및 방법,G05D 1/246|G06T 3/4038|G06T 7/73|G05D 1/248|G05D 1/49|G05D 1/85|G05D 109/20,20250731.0,1020250115887.0,,,,,공개,자율,"무인비행체 자율비행용 좌표 및 맵 생성 시스템 및 방법 본 발명은 무인비행체가 이동하는 이동경로의 실시간 영상을 촬영하여 표적을 탐지하고, 표적의 좌표를 추출하며, 모자이크 맵을 생성할 수 있는 무인비행체 자율비행용 좌표 및 맵 생성 시스템 및 방법에 관한 것이다.  이를 위하여, 본 발명은 무인비행체 자율비행용 좌표 및 맵 생성 시스템에 있어서, 상기 무인비행체가 이동하는 이동경로의 영상을 촬영하여 실시간 영상을 획득하는 카메라부와, 상기 무인비행체의 비행을 위한 비행기반정보가 저장되고, 실시간 비행에 따른 상기 무인비행체의 실시간비행상태정보를 계산 및 송수신하는 데이터부와, 상기 실시간 영상, 상기 비행기반정보 및 상기 실시간비행상태정보를 기반으로 상기 실시간 영상 내의 표적을 탐지하고 표적좌표를 계산하는 표적좌표 추출부와, 상기 실시간 영상, 상기 비행기반정보 및 상기 실시간비행상태정보를 기반으로 상기 이동경로 영역의 모자이크 맵을 생성하는 모자이크 맵 생성부와, 상기 모자이크 맵을 분석하여 상기 이동경로 지역의 변화를 분석하는 맵 변화 분석부를 포함하는 것을 특징으로 하는 무인비행체 자율비행용 좌표 및 맵 생성 시스템을 제공한다. ",0.3541374043881027,2024,2024
4,더 보잉 컴파니,20200706,1020200082651,"FD-SOI 디바이스를 위한 자율 최적화 회로는 정적 바이어싱 회로, 선량계, 기준 회로, 증폭기, 전압원 및 피드백 회로를 포함한다. 정적 바이어싱 회로는 제1 바이어스를 제공한다. 선량계는 선량계 FD-SOI 디바이스를 포함하고, 프라이머리 FD-SOI 디바이스에서 파라메트릭 시프트들에 민감한 선량계 전압을 생성한다. 기준 회로는 기준 전압을 공급한다. 증폭기는 선량계 및 기준 회로에 결합되고, 정적 바이어싱 회로의 출력에서 제2 바이어스를 공급하며, 제2 바이어스는 선량계 전압과 기준 전압 간의 차에 비례한다. 전압원은 제1 바이어스 및 제2 바이어스가 참조되는 구동 전압을 생성한다. 피드백 회로는 제1 바이어스 및 제2 바이어스에 따라 선량계 FD-SOI 디바이스의 웰에 대한 구동 전압의 공급을 조절한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c935d7cca487aa6c0740b829825b2d962dfa4e8f1e95317d318b5c499e538274ea631af3ade80ba73bc5659ea500480911a6b8198d6e77018ed,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf1ead725c7e832212e2d1c1a9cc89fa7142f71aef10b84b9040dd7602cc1007e3aa4499e7b246939e8b7e6f338c38354cbd58b8188bf431a5,5,"완전 공핍형 실리콘 온 인슐레이터 기술들에서 총 이온화 선량 영향들, 온도 드리프트들 및 노화 현상들을 완화하기 위한 자율 최적화 회로들",H03F 1/02|H03F 3/45|G05F 3/20|G05F 3/22|H10D 1/20,20210119.0,1020210006856.0,,,20250731.0,1028426200000.0,등록,자율,"완전 공핍형 실리콘 온 인슐레이터 기술들에서 총 이온화 선량 영향들, 온도 드리프트들 및 노화 현상들을 완화하기 위한 자율 최적화 회로들 FD-SOI 디바이스를 위한 자율 최적화 회로는 정적 바이어싱 회로, 선량계, 기준 회로, 증폭기, 전압원 및 피드백 회로를 포함한다. 정적 바이어싱 회로는 제1 바이어스를 제공한다. 선량계는 선량계 FD-SOI 디바이스를 포함하고, 프라이머리 FD-SOI 디바이스에서 파라메트릭 시프트들에 민감한 선량계 전압을 생성한다. 기준 회로는 기준 전압을 공급한다. 증폭기는 선량계 및 기준 회로에 결합되고, 정적 바이어싱 회로의 출력에서 제2 바이어스를 공급하며, 제2 바이어스는 선량계 전압과 기준 전압 간의 차에 비례한다. 전압원은 제1 바이어스 및 제2 바이어스가 참조되는 구동 전압을 생성한다. 피드백 회로는 제1 바이어스 및 제2 바이어스에 따라 선량계 FD-SOI 디바이스의 웰에 대한 구동 전압의 공급을 조절한다. ",0.3197610939407143,2020,2020
5,재단법인한국조선해양기자재연구원,20240130,1020240013815,"본 발명은 전술한 목적을 달성하기 위한 것으로, 본 발명에 따른 차량 운반선 내 화재 감지 및 초기 대응을 위한 시스템은 차량 운반선 내부를 이동하며 화재 발생을 감지하고, 화재 발생 구역에 소화약제를 배출하기 위한 자율이동로봇;를 포함하며, 자율이동로봇은, 자율이동로봇의 위치를 파악하고, 화재를 감지하기 위한 센서부; 자율이동로봇의 이동 및 동작을 제어하기 위한 제어부; 외부 장치와 송수신을 위한 통신부; 화재 발생 구역에 소화약제를 배출하기 위한 소화부;를 포함하며, 센서부는, 자율이동로봇의 위치 및 상기 차량 운반선 내에 고정된 차량의 위치를 감지하기 위한 위치센서; 자율이동로봇 상에 장착되어 주변의 화재 발생을 감지하기 위한 화재감지센서;를 포함하고, 제어부는, 위치센서로부터 획득한 데이터를 이용하여 상기 차량 운반선의 내부 지도를 제작하는 지도 생성 모듈; 센서부를 통해 획득한 데이터를 이용하여 상기 차량 운반선 내의 화재 발생을 감지하는 화재 감지 모듈;를 포함하여 이루어질 수 있다.  본 발명은 차량 운반선 내에서 발생할 수 있는 차량의 화재를 초기에 발견하고, 대처하여 대형 사고로 이어지기 전 화재를 해소하거나, 연소 시간을 지연시킬 수 있도록 기여할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934719fa4b079319210f9db472c6898b4c82499e681a8b56cef130c418614fec65e5cf8356b10416929477cbff9bba4996c58b38755d4e6657,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf79bddb8025c59b6680fbb1683de18d18ced736f1a4e2c17b2dff233e6a55d001171e284cf4173759fe8a61d9dcc9c45c2d0014b7a10746a5,6,차량 운반선 내 차량의 화재감지 및 초기 대응을 위한 자율이동로봇 시스템 및 이의 방법,A62C 37/38|A62C 27/00|A62C 99/00|B25J 19/02|G05D 1/246|G08B 17/00|G01J 5/48|G05D 105/55,,,20250801.0,,20250730.0,1028421740000.0,등록,자율,"차량 운반선 내 차량의 화재감지 및 초기 대응을 위한 자율이동로봇 시스템 및 이의 방법 본 발명은 전술한 목적을 달성하기 위한 것으로, 본 발명에 따른 차량 운반선 내 화재 감지 및 초기 대응을 위한 시스템은 차량 운반선 내부를 이동하며 화재 발생을 감지하고, 화재 발생 구역에 소화약제를 배출하기 위한 자율이동로봇;를 포함하며, 자율이동로봇은, 자율이동로봇의 위치를 파악하고, 화재를 감지하기 위한 센서부; 자율이동로봇의 이동 및 동작을 제어하기 위한 제어부; 외부 장치와 송수신을 위한 통신부; 화재 발생 구역에 소화약제를 배출하기 위한 소화부;를 포함하며, 센서부는, 자율이동로봇의 위치 및 상기 차량 운반선 내에 고정된 차량의 위치를 감지하기 위한 위치센서; 자율이동로봇 상에 장착되어 주변의 화재 발생을 감지하기 위한 화재감지센서;를 포함하고, 제어부는, 위치센서로부터 획득한 데이터를 이용하여 상기 차량 운반선의 내부 지도를 제작하는 지도 생성 모듈; 센서부를 통해 획득한 데이터를 이용하여 상기 차량 운반선 내의 화재 발생을 감지하는 화재 감지 모듈;를 포함하여 이루어질 수 있다.  본 발명은 차량 운반선 내에서 발생할 수 있는 차량의 화재를 초기에 발견하고, 대처하여 대형 사고로 이어지기 전 화재를 해소하거나, 연소 시간을 지연시킬 수 있도록 기여할 수 있다. ",0.4029283771302664,2024,2024
6,국립한국해양대학교산학협력단,20230221,1020230022865,"본 발명은 소형 자율운항선박의 안전한 항로추정 방법과 항로추종의 정확도와 안전성 평가 및 가시화 방법을 개시한다.  본 발명은 소형 자율운항선박이 방위와 속도를 이용하여 위치를 추정하면서 계획항로를 추종할 시, 추정위치의 정확도에 영향을 미치는 방위, 속도, 위성위치로 된 3종 오차를 이용하여 안전한 항로추정 수립단계 및 위치오차-도메인을 이용한 항로추정 수립단계 및 위치오차-도메인의 구현단계 및 원형위성위치오차의 구현단계 및 상기 위치오차-도메인과 원형위성위치오차를 이용한 타원형추정위치오차 구현단계 및 위치오차-도메인을 이용한 추정위치의 평가단계와;, 위치오차-도메인을 이용한 항로추정단계와;, 항로추정 결과의 가시화단계로 구성된다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ea189098f038aa62ae0eb271bb7ebc83387c5f5e8e0797f21c580b2cf1a173fb94e4f467dab18cbc1a951b37b97b561de89639a84ad92bd9,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf389b62649a0cdb8e27009ae353bb97def760ef8e76463a016631778767c9193498e484f4c31d02fd2b47db22bc9dbd2939665c43cc81a67f,7,위치오차-도메인을 이용한 소형 자율운항선박의 안전한 항로 추종 방법,G01C 21/20|G01C 21/08|G01C 21/10|G01C 21/00|G05D 1/00|G05D 1/20|B63B 79/40|B63B 79/30|B63B 79/10|B63B 49/00,20240828.0,1020240129827.0,,,,,공개,자율,"위치오차-도메인을 이용한 소형 자율운항선박의 안전한 항로 추종 방법 본 발명은 소형 자율운항선박의 안전한 항로추정 방법과 항로추종의 정확도와 안전성 평가 및 가시화 방법을 개시한다.  본 발명은 소형 자율운항선박이 방위와 속도를 이용하여 위치를 추정하면서 계획항로를 추종할 시, 추정위치의 정확도에 영향을 미치는 방위, 속도, 위성위치로 된 3종 오차를 이용하여 안전한 항로추정 수립단계 및 위치오차-도메인을 이용한 항로추정 수립단계 및 위치오차-도메인의 구현단계 및 원형위성위치오차의 구현단계 및 상기 위치오차-도메인과 원형위성위치오차를 이용한 타원형추정위치오차 구현단계 및 위치오차-도메인을 이용한 추정위치의 평가단계와;, 위치오차-도메인을 이용한 항로추정단계와;, 항로추정 결과의 가시화단계로 구성된다. ",0.3454734428725932,2023,2023
7,르노 에스.아.에스.,20220429,1020237041486,"적어도 하나의 인식 수단(21) 및 자율 주행 차량(100)의 환경의 실제 기반구조를 나타내는 저장된 디지털 데이터를 포함하는 제1 맵(M1)을 갖춘, 자율 주행 차량(100)의 제어 방법에 있어서, 상기 제어 방법은, ・ 상기 자율 주행 차량(100)의 제1 궤적(T1) 및 이에 연관된 제1 운동학적 프로파일(P1)을 정의하는 단계(E1); ・ 상기 적어도 하나의 인식 수단(21)에 의해 전송된 데이터로부터, 상기 제1 궤적(T1)의 주어진 세그먼트(S) 상에서 최적화되어야 할 상황을 검출하는 단계(E2) - 상기 주어진 세그먼트(S)는 상기 적어도 하나의 인식 수단(21)의 최대 검출 거리(DLIM)보다 짧은 거리에 걸쳐 상기 자율 주행 차량(100)의 전방에 위치해 있는 것임 -; ・ 상기 제1 맵(M1) 및 상기 제1 운동학적 프로파일(P1) 중 적어도 하나의 요소를 최적화하는 단계(E3) - 상기 제1 맵을 최적화하는 것은 상기 주어진 세그먼트(S) 상에서 국부적인 맵(M2)을 결정하는 것을 포함하고, 그리고/또는 상기 제1 운동학적 프로파일(P1)을 최적화하는 것은 상기 주어진 세그먼트(S)에 연관된 제2 운동학적 프로파일(P2)을 결정하는 것을 포함하며, 상기 제2 운동학적 프로파일(P2)의 적어도 하나의 파라미터는 상기 제1 운동학적 프로파일(P1)의 파라미터와는 다른 것임 -; ・ ...(이하생략)",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a89b482ba757ab917b57c937fa74d4b028c8eb2023e64f6d7850c7e426bde70f029d2a351d417bc548256892112fd14bd20416d62911d2e3,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf8dd0a54ed460deebf4dda3278abfd6ec556ed10458e0184bbeb3ff8b83053ec411e725174e93732da9650fdb504ba23f03fe447f36fcb905,8,자율 주행 차량의 제어 방법,B60W 60/00|B60W 30/095|B60W 30/18|G01C 21/34,20240112.0,1020240005836.0,,,,,공개,자율,"자율 주행 차량의 제어 방법 적어도 하나의 인식 수단(21) 및 자율 주행 차량(100)의 환경의 실제 기반구조를 나타내는 저장된 디지털 데이터를 포함하는 제1 맵(M1)을 갖춘, 자율 주행 차량(100)의 제어 방법에 있어서, 상기 제어 방법은, ・ 상기 자율 주행 차량(100)의 제1 궤적(T1) 및 이에 연관된 제1 운동학적 프로파일(P1)을 정의하는 단계(E1); ・ 상기 적어도 하나의 인식 수단(21)에 의해 전송된 데이터로부터, 상기 제1 궤적(T1)의 주어진 세그먼트(S) 상에서 최적화되어야 할 상황을 검출하는 단계(E2) - 상기 주어진 세그먼트(S)는 상기 적어도 하나의 인식 수단(21)의 최대 검출 거리(DLIM)보다 짧은 거리에 걸쳐 상기 자율 주행 차량(100)의 전방에 위치해 있는 것임 -; ・ 상기 제1 맵(M1) 및 상기 제1 운동학적 프로파일(P1) 중 적어도 하나의 요소를 최적화하는 단계(E3) - 상기 제1 맵을 최적화하는 것은 상기 주어진 세그먼트(S) 상에서 국부적인 맵(M2)을 결정하는 것을 포함하고, 그리고/또는 상기 제1 운동학적 프로파일(P1)을 최적화하는 것은 상기 주어진 세그먼트(S)에 연관된 제2 운동학적 프로파일(P2)을 결정하는 것을 포함하며, 상기 제2 운동학적 프로파일(P2)의 적어도 하나의 파라미터는 상기 제1 운동학적 프로파일(P1)의 파라미터와는 다른 것임 -; ・ ...(이하생략) ",0.405719818831639,2022,2022
8,엘지전자 주식회사,20200110,1020200003532,"본 명세서의 일 실시예에 따른 자율 차량의 음성 정보를 제어하기 위한 방법은, 제1 음성 정보와 관련된 제1 메타 데이터 및 제2 음성 정보와 관련된 제2 메타 데이터를 호스트 디바이스가 제1 디바이스 및 제2 디바이스로부터 각각 수신하고, 상기 호스트 디바이스가 상기 제1 메타 데이터 및 상기 제2 메타 데이터에 기초하여 발생된 음성 출력 명령이 상기 제1 디바이스 및 상기 제2 디바이스로 전송하고, 상기 제1 메타 데이터는 상기 제1 음성 정보의 제1 중요도 정보를 포함하고, 상기 제2 메타 데이터는 상기 제2 음성 정보의 제2 중요도 정보를 포함하고, 상기 음성 출력 명령에 기초하여 상기 제1 음성 정보 및 상기 제2 음성 정보의 키워드 간의 충돌이 회피되어 각각 출력됨으로써, 자율 차량의 탑승자에게 음성 정보를 효율적으로 전달할 수 있는 효과가 있다.  본 발명의 자율 주행 차량이 인공 지능(Artificail Intelligenfce) 모듈, 드론(Unmanned Aerial Vehicle, UAV), 로봇, 증강 현실(Augmented Reality, AR) 장치, 가상 현실(virtual reality, VR) 장치, 5G 서비스와 관련된 장치 등과 연계될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93113393ec7cf8175a41a4877ffd33d04496d7356fa35829dd962dec1d78d028065ab419010e99118e1d19310be233f8e3feeb41a4e2013b12,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf06ea33f11e03ba89adaaa022cb5040902f7998539a2c314aa4ddf50d549d2402fc7b6d484c212b09917a292b971d4fb826423a7988398114,9,자율 차량의 음성 정보 제어 방법 및 이를 위한 장치,G10L 17/24|G10L 15/26|G10L 17/02|G10L 17/06|B60R 16/037|G06F 3/16|B60W 40/08,20210720.0,1020210090378.0,,,,,공개,자율,"자율 차량의 음성 정보 제어 방법 및 이를 위한 장치 본 명세서의 일 실시예에 따른 자율 차량의 음성 정보를 제어하기 위한 방법은, 제1 음성 정보와 관련된 제1 메타 데이터 및 제2 음성 정보와 관련된 제2 메타 데이터를 호스트 디바이스가 제1 디바이스 및 제2 디바이스로부터 각각 수신하고, 상기 호스트 디바이스가 상기 제1 메타 데이터 및 상기 제2 메타 데이터에 기초하여 발생된 음성 출력 명령이 상기 제1 디바이스 및 상기 제2 디바이스로 전송하고, 상기 제1 메타 데이터는 상기 제1 음성 정보의 제1 중요도 정보를 포함하고, 상기 제2 메타 데이터는 상기 제2 음성 정보의 제2 중요도 정보를 포함하고, 상기 음성 출력 명령에 기초하여 상기 제1 음성 정보 및 상기 제2 음성 정보의 키워드 간의 충돌이 회피되어 각각 출력됨으로써, 자율 차량의 탑승자에게 음성 정보를 효율적으로 전달할 수 있는 효과가 있다.  본 발명의 자율 주행 차량이 인공 지능(Artificail Intelligenfce) 모듈, 드론(Unmanned Aerial Vehicle, UAV), 로봇, 증강 현실(Augmented Reality, AR) 장치, 가상 현실(virtual reality, VR) 장치, 5G 서비스와 관련된 장치 등과 연계될 수 있다. ",0.4885709867565191,2020,2020
9,주식회사 엠큐닉,20231108,1020230153745,"본 기술은 자율차 혼재율이 반영된 교통 예측 시스템 및 방법이 개시되어 있고, 본 기술에 대한 구체적인 실시예에 의거하면, 주행 중인 해당 도로의 소정 시간범위에서의 총 교통량 및 자율차 교통량을 토대로 자율차와 비자율차 간의 혼재율을 도출하고 도출된 혼재율을 반영하여 해당 도로에 추가되는 자율차에 의거 변동하는 교통정보를 예측하고 예측된 교통정보를 토대로 미시적 또는 거시적 교통운영정보를 구축함에 따라, 교통 운영을 최적화할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c936ce5295df05c78c12e215e7c53c5e08fffe67ad7d3a0ad6cb8f68a5c2c92f9fb2c91f3f63d11762bf3d062126ef042678a732fcccc25d26b,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9df4b14edc179f05bdae282c4a4c8d57458925a83c3e508463d0cdcc432fa4e9aeaddf7ead8239de59dd8c18db7daf1c0353a96e9b96d2f2,10,자율차 혼재율이 반영된 교통 예측 시스템 및 방법,G08G 1/01|G08G 1/017|G06V 20/54|G06V 20/58|B60W 40/02,20250516.0,1020250068017.0,,,,,공개,자율,"자율차 혼재율이 반영된 교통 예측 시스템 및 방법 본 기술은 자율차 혼재율이 반영된 교통 예측 시스템 및 방법이 개시되어 있고, 본 기술에 대한 구체적인 실시예에 의거하면, 주행 중인 해당 도로의 소정 시간범위에서의 총 교통량 및 자율차 교통량을 토대로 자율차와 비자율차 간의 혼재율을 도출하고 도출된 혼재율을 반영하여 해당 도로에 추가되는 자율차에 의거 변동하는 교통정보를 예측하고 예측된 교통정보를 토대로 미시적 또는 거시적 교통운영정보를 구축함에 따라, 교통 운영을 최적화할 수 있다. ",0.3531147157591141,2023,2023
